SITE	SOURCE_SITE	Long	Lat	E_rate	N_rate	H_rate	Error_E	Error_N	Error_H	RHO_EN	Covariance_EN	Velocity_Magnitude	Velocity_Azimuth_deg	Ellipse_Major_1sigma	Ellipse_Minor_1sigma	Ellipse_Azimuth_deg
PBUR	PBUR_GA6	-82.90881	8.07435	6.33	22.05	5.55	0.21	0.18	0.78	-0.014	-0.00052920	22.941	16.02	0.2101	0.1799	92.58
PEZE	PEZE_G67	-83.67749	9.38265	6.42	21.38	0.70	0.04	0.04	0.16	-0.009	-0.00001440	22.323	16.71	0.0402	0.0398	135.00
PEZN	PEZN_GA2	-83.68007	9.36667	5.86	20.26	0.44	0.38	0.30	1.33	-0.010	-0.00114000	21.090	16.13	0.3800	0.3000	91.20
PIE1	PIE1_3PS	-108.11893	34.30151	-12.80	5.82	-0.41	0.04	0.03	0.12	-0.094	-0.00011280	14.061	294.45	0.0402	0.0297	98.93
PIRO	PIRO_G86	-83.33659	8.40412	7.05	25.44	-2.55	0.16	0.12	0.60	-0.149	-0.00286080	26.399	15.49	0.1621	0.1171	103.53
PJIM	PJIM_G86	-83.30822	8.50110	11.42	31.34	-3.09	0.35	0.28	1.30	-0.118	-0.01156400	33.356	20.02	0.3540	0.2749	103.84
PJMZ	PJMZ_GB1	-83.31352	8.53722	8.81	30.43	-6.91	0.73	0.57	2.48	0.001	0.00041610	31.680	16.15	0.7300	0.5700	89.89
PLAN	PLAN_G67	-83.68045	8.67197	10.56	30.52	-7.32	0.07	0.05	0.23	0.004	0.00001400	32.295	19.09	0.0700	0.0500	89.67
PMEC	PMEC_GPS	-80.32874	8.48827	5.28	9.78	-0.33	0.25	0.21	1.07	-0.013	-0.00068250	11.114	28.36	0.2501	0.2099	92.12
PN01	PN01_G67	-83.44809	8.96272	7.11	24.82	-0.58	0.36	0.29	1.20	0.020	0.00208800	25.818	15.99	0.3601	0.2898	87.38
PNBC	PNBC_G86	-83.14075	8.36886	2.84	23.27	-7.65	0.52	0.45	2.27	-0.016	-0.00374400	23.443	6.96	0.5202	0.4498	93.15
PNE2	PNE2_271	-85.82871	10.19516	-1.48	15.88	-5.04	0.05	0.04	0.19	-0.029	-0.00005800	15.949	354.68	0.0500	0.0400	93.67
PNPB	PNPB_G86	-83.22777	8.68521	7.39	23.91	-8.65	0.29	0.25	1.30	-0.121	-0.00877250	25.026	17.18	0.2953	0.2437	109.54
POLS	POLS_G94	-86.81292	12.64932	-0.07	-0.05	-0.06	980.71	980.71	980.71	-0.000	-0.00000000	0.086	234.46	980.7100	980.7100	0.00
POTG	POTG_G67	-83.11888	9.05250	5.75	18.69	-1.57	0.10	0.07	0.35	0.086	0.00060200	19.555	17.10	0.1003	0.0695	83.36
PROG	PROG_G80	-85.23739	10.98680	-2.25	11.57	0.50	0.35	0.26	1.25	0.042	0.00382200	11.787	349.00	0.3504	0.2595	86.04
PTJI	PTJI_G86	-83.30725	8.53840	8.81	30.43	-6.91	0.73	0.57	2.48	0.001	0.00041610	31.680	16.15	0.7300	0.5700	89.89
PTPA	PTPA_G67	-82.14437	8.93801	5.47	10.80	-0.59	0.13	0.13	0.69	-0.039	-0.00065910	12.106	26.86	0.1325	0.1274	135.00
PTPP	PTPP_G86	-82.87904	8.20434	19.19	23.30	5.06	0.18	0.16	0.70	-0.213	-0.00613440	30.185	39.48	0.1898	0.1483	120.50
PUJE	PUJE_471	-85.27248	10.11398	-0.14	19.78	2.16	0.03	0.02	0.09	0.114	0.00006840	19.780	359.59	0.0302	0.0198	82.35
PUMO	PUMO_371	-84.96672	10.06450	0.13	17.63	2.06	0.04	0.03	0.13	0.032	0.00003840	17.630	0.42	0.0400	0.0300	86.87
PUNT	PUNT_G71	-84.83214	9.97988	-0.38	15.42	0.20	0.25	0.20	0.86	-0.008	-0.00040000	15.425	358.59	0.2500	0.2000	91.02
QPSB	QPSB_GA2	-84.12387	9.39193	1.70	19.30	-0.03	0.09	0.07	0.33	0.063	0.00039690	19.375	5.03	0.0903	0.0697	83.03
QSEC	QSEC_271	-85.35727	9.84038	-0.76	22.87	-8.96	0.05	0.04	0.17	0.033	0.00006600	22.883	358.10	0.0500	0.0399	85.83
QUEN	QUEN_G94	-86.85189	12.59179	-6.75	17.84	31.05	12.97	10.59	51.31	0.040	5.49409200	19.074	339.28	12.9905	10.5648	84.46
QUEP	QUEP_GA2	-84.15815	9.43240	3.89	18.91	0.42	0.48	0.37	1.72	0.018	0.00319680	19.306	11.62	0.4801	0.3699	88.04
QUEQ	QUEQ_GA2	-84.16831	9.42458	4.36	19.38	1.29	1.96	1.68	7.49	-0.055	-0.18110400	19.864	12.68	1.9679	1.6707	99.78
QUI3	QUI3_3A9	-78.46728	-0.13958	-20.06	5.11	-1.20	0.04	0.04	0.13	-0.045	-0.00007200	20.701	284.29	0.0409	0.0391	135.00
QUI4	QUI4_255	-78.46728	-0.13958	-20.06	5.11	-1.20	0.04	0.04	0.13	-0.045	-0.00007200	20.701	284.29	0.0409	0.0391	135.00
RC01	RC01_G86	-83.07052	8.68765	11.49	23.78	-2.38	1.09	0.84	3.94	-0.103	-0.09430680	26.410	25.79	1.0981	0.8294	100.68
RDSD	RDSD_GPS	-69.91132	18.46140	-1.87	-1.79	-0.59	0.02	0.02	0.08	0.027	0.00001080	2.589	226.25	0.0203	0.0197	45.00
REVE	REVE_G67	-83.57135	10.07528	2.49	10.45	-1.46	0.40	0.31	1.39	-0.058	-0.00719200	10.743	13.40	0.4010	0.3087	96.34
RIDC	RIDC_G67	-84.04907	9.91969	-1.90	15.64	0.43	0.08	0.07	0.30	-0.004	-0.00002240	15.755	353.07	0.0800	0.0700	90.86
RIFO	RIFO_267	-83.92265	10.31729	1.11	8.04	-1.56	0.05	0.04	0.16	0.028	0.00005600	8.116	7.86	0.0500	0.0400	86.45
RIMA	RIMA_G67	-83.86350	9.76655	1.66	13.80	-12.48	1.08	1.00	7.64	0.012	0.01296000	13.899	6.86	1.0805	0.9995	85.57
RIOP	RIOP_555	-78.65111	-1.65060	-19.08	7.19	0.30	0.09	0.08	0.32	-0.047	-0.00033840	20.390	290.65	0.0904	0.0796	100.85
RIOS	RIOS_267	-83.51435	8.70050	10.31	27.47	-11.21	0.10	0.09	0.43	0.187	0.00168300	29.341	20.57	0.1048	0.0844	59.72
RSNO	RSNO_G86	-82.86262	8.81822	4.58	14.99	0.33	0.71	0.54	2.26	-0.029	-0.01111860	15.674	16.99	0.7104	0.5395	92.99
SAGE	SAGE_G67	-83.70426	9.37314	7.40	22.16	0.50	0.28	0.22	0.90	-0.012	-0.00073920	23.363	18.47	0.2800	0.2200	91.41
SAJU	SAJU_G71	-85.71056	10.06712	1.66	20.81	-7.73	0.05	0.04	0.16	0.064	0.00012800	20.876	4.56	0.0502	0.0398	82.06
SALU	SALU_GPS	-44.21248	-2.59346	-26.53	-10.70	5.18	0.22	0.18	0.80	-0.081	-0.00320760	28.606	248.03	0.2214	0.1783	100.92
SAN0	SAN0_G67	-81.71572	12.58045	0.02	4.98	0.74	0.09	0.07	0.32	0.002	0.00001260	4.980	0.23	0.0900	0.0700	89.77
SCUB	SCUB_5PS	-75.76232	20.01206	-12.39	-2.69	-0.44	0.03	0.02	0.10	0.045	0.00002700	12.679	257.75	0.0300	0.0200	86.92
SCW2	SCW2_G83	-87.02089	12.69657	-6.33	9.68	-2.93	0.23	0.19	0.78	0.075	0.00327750	11.566	326.82	0.2313	0.1884	79.34
SGDO	SGDO_G71	-84.76068	10.47583	0.35	10.73	0.64	0.20	0.16	0.74	0.060	0.00192000	10.736	1.87	0.2006	0.1592	82.53
SIRE	SIRE_GB1	-83.58960	8.48042	18.66	52.05	-17.82	1.29	0.94	4.48	-0.202	-0.24494520	55.294	19.72	1.3170	0.9017	106.06
SJUP	SJUP_G71	-85.12712	10.91976	-2.06	9.70	2.37	0.13	0.11	0.50	0.066	0.00094380	9.916	348.01	0.1307	0.1092	79.27
SRBA	SRBA_G67	-83.36005	9.23214	6.85	20.44	-0.64	0.06	0.05	0.24	0.093	0.00027900	21.557	18.53	0.0606	0.0493	76.55
SSIA	SSIA_683	-89.11660	13.69709	-7.07	6.01	-0.92	0.04	0.03	0.14	0.038	0.00004560	9.279	310.37	0.0400	0.0300	86.29
TELN	TELN_G83	-86.83481	12.60641	4.78	12.87	-4.56	0.86	0.67	3.05	0.003	0.00172860	13.729	20.38	0.8600	0.6700	89.66
TENO	TENO_G71	-85.09832	10.60179	-3.48	16.87	3.84	0.56	0.45	1.68	-0.018	-0.00453600	17.225	348.34	0.5602	0.4498	92.33
TGPM	TGPM_G67	-82.25772	9.35087	2.02	7.20	-1.23	0.05	0.04	0.20	0.017	0.00003400	7.478	15.67	0.0500	0.0400	87.84
TIGB	TIGB_G67	-83.29691	9.02845	7.85	22.24	-0.32	0.07	0.06	0.25	0.007	0.00002940	23.585	19.44	0.0700	0.0600	88.71
TILA	TILA_G71	-84.97771	10.47998	-2.66	15.48	1.09	0.16	0.13	0.58	0.014	0.00029120	15.707	350.25	0.1600	0.1300	88.09
TOAL	TOAL_GA1	-82.98837	8.78673	6.85	18.65	-0.35	0.10	0.08	0.34	-0.012	-0.00009600	19.868	20.17	0.1000	0.0800	91.53
TROA	TROA_G71	-84.92110	10.50180	-0.61	13.11	0.16	0.14	0.13	0.57	-0.074	-0.00134680	13.124	357.34	0.1420	0.1278	112.47
UCRI	UCRI_G67	-84.05196	9.93618	-8.05	16.32	-1.44	0.42	0.33	1.43	0.002	0.00027720	18.197	333.74	0.4200	0.3300	89.76
VEAC	VEAC_GA5	-85.03385	10.63150	-3.62	16.92	2.20	0.15	0.12	0.55	0.029	0.00052200	17.303	347.92	0.1501	0.1199	86.33
VEPN	VEPN_GA5	-84.98615	10.71546	0.26	12.94	0.14	0.33	0.26	1.16	0.013	0.00111540	12.943	1.15	0.3300	0.2599	88.45
VERA	VERA_367	-84.86904	10.85362	-0.90	7.91	1.04	0.05	0.04	0.17	0.111	0.00022200	7.961	353.51	0.0505	0.0393	76.87
VI17	VI17_G67	-83.84516	9.98436	-2.35	15.94	17.23	1.75	1.35	6.28	0.001	0.00236250	16.112	351.61	1.7500	1.3500	89.89
VI65	VI65_G67	-83.86055	9.97320	2.27	16.23	-8.93	0.11	0.08	0.37	-0.002	-0.00001760	16.388	7.96	0.1100	0.0800	90.18
